title,slug,difficulty,topics
Sum of Digit Differences of All Pairs,sum-of-digit-differences-of-all-pairs,MEDIUM,"array,hash-table,math,counting"
Find Number of Ways to Reach the K-th Stair,find-number-of-ways-to-reach-the-k-th-stair,HARD,"math,dynamic-programming,bit-manipulation,memoization,combinatorics"
Maximum Number of Upgradable Servers,maximum-number-of-upgradable-servers,MEDIUM,"array,math,binary-search"
Employee Task Duration and Concurrent Tasks,employee-task-duration-and-concurrent-tasks,HARD,database
Find the Level of Tree with Minimum Sum,find-the-level-of-tree-with-minimum-sum,MEDIUM,"tree,depth-first-search,breadth-first-search,binary-tree"
Find the XOR of Numbers Which Appear Twice,find-the-xor-of-numbers-which-appear-twice,EASY,"array,hash-table,bit-manipulation"
Find Occurrences of an Element in an Array,find-occurrences-of-an-element-in-an-array,MEDIUM,"array,hash-table"
Find the Number of Distinct Colors Among the Balls,find-the-number-of-distinct-colors-among-the-balls,MEDIUM,"array,hash-table,simulation"
Block Placement Queries,block-placement-queries,HARD,"array,binary-search,binary-indexed-tree,segment-tree"
Find the Number of Good Pairs I,find-the-number-of-good-pairs-i,EASY,"array,hash-table"
String Compression III,string-compression-iii,MEDIUM,string
Find the Number of Good Pairs II,find-the-number-of-good-pairs-ii,MEDIUM,"array,hash-table"
Maximum Sum of Subsequence With Non-adjacent Elements,maximum-sum-of-subsequence-with-non-adjacent-elements,HARD,"array,divide-and-conquer,dynamic-programming,segment-tree"
Calculate Parking Fees and Duration,calculate-parking-fees-and-duration,MEDIUM,database
Better Compression of String,better-compression-of-string,MEDIUM,"hash-table,string,sorting,counting"
Minimum Number of Chairs in a Waiting Room,minimum-number-of-chairs-in-a-waiting-room,EASY,"string,simulation"
Count Days Without Meetings,count-days-without-meetings,MEDIUM,"array,sorting"
Lexicographically Minimum String After Removing Stars,lexicographically-minimum-string-after-removing-stars,MEDIUM,"hash-table,string,stack,greedy,heap-priority-queue"
Find Subarray With Bitwise OR Closest to K,find-subarray-with-bitwise-or-closest-to-k,HARD,"array,binary-search,bit-manipulation,segment-tree"
Second Day Verification,second-day-verification,EASY,database
Bitwise OR of Adjacent Elements,bitwise-or-of-adjacent-elements,EASY,"array,bit-manipulation"
Clear Digits,clear-digits,EASY,"string,stack,simulation"
Find The First Player to win K Games in a Row,find-the-first-player-to-win-k-games-in-a-row,MEDIUM,"array,simulation"
Find the Maximum Length of a Good Subsequence I,find-the-maximum-length-of-a-good-subsequence-i,MEDIUM,"array,hash-table,dynamic-programming"
Find the Maximum Length of a Good Subsequence II,find-the-maximum-length-of-a-good-subsequence-ii,HARD,"array,hash-table,dynamic-programming"
Find the Child Who Has the Ball After K Seconds,find-the-child-who-has-the-ball-after-k-seconds,EASY,"math,simulation"
Find the N-th Value After K Seconds,find-the-n-th-value-after-k-seconds,MEDIUM,"array,math,simulation,combinatorics,prefix-sum"
Maximum Total Reward Using Operations I,maximum-total-reward-using-operations-i,MEDIUM,"array,dynamic-programming"
Maximum Total Reward Using Operations II,maximum-total-reward-using-operations-ii,HARD,"array,dynamic-programming,bit-manipulation"
Find Top Scoring Students,find-top-scoring-students,MEDIUM,database
The Number of Ways to Make the Sum,the-number-of-ways-to-make-the-sum,MEDIUM,"array,dynamic-programming"
Count Pairs That Form a Complete Day I,count-pairs-that-form-a-complete-day-i,EASY,"array,hash-table,counting"
Count Pairs That Form a Complete Day II,count-pairs-that-form-a-complete-day-ii,MEDIUM,"array,hash-table,counting"
Maximum Total Damage With Spell Casting,maximum-total-damage-with-spell-casting,MEDIUM,"array,hash-table,two-pointers,binary-search,dynamic-programming,sorting,counting"
Peaks in Array,peaks-in-array,HARD,"array,binary-indexed-tree,segment-tree"
Find Top Scoring Students II,find-top-scoring-students-ii,HARD,database
Minimum Moves to Get a Peaceful Board,minimum-moves-to-get-a-peaceful-board,MEDIUM,"array,greedy,sorting,counting-sort"
Find Minimum Operations to Make All Elements Divisible by Three,find-minimum-operations-to-make-all-elements-divisible-by-three,EASY,"array,math"
Minimum Operations to Make Binary Array Elements Equal to One I,minimum-operations-to-make-binary-array-elements-equal-to-one-i,MEDIUM,"array,bit-manipulation,queue,sliding-window,prefix-sum"
Minimum Operations to Make Binary Array Elements Equal to One II,minimum-operations-to-make-binary-array-elements-equal-to-one-ii,MEDIUM,"array,dynamic-programming,greedy"
Count the Number of Inversions,count-the-number-of-inversions,HARD,"array,dynamic-programming"
Minimum Average of Smallest and Largest Elements,minimum-average-of-smallest-and-largest-elements,EASY,"array,two-pointers,sorting"
Find the Minimum Area to Cover All Ones I,find-the-minimum-area-to-cover-all-ones-i,MEDIUM,"array,matrix"
Maximize Total Cost of Alternating Subarrays,maximize-total-cost-of-alternating-subarrays,MEDIUM,"array,dynamic-programming"
Find the Minimum Area to Cover All Ones II,find-the-minimum-area-to-cover-all-ones-ii,HARD,"array,matrix,enumeration"
Find Cities in Each State,find-cities-in-each-state,EASY,database
Count Triplets with Even XOR Set Bits I,count-triplets-with-even-xor-set-bits-i,EASY,"array,bit-manipulation"
Maximum Height of a Triangle,maximum-height-of-a-triangle,EASY,"array,enumeration"
Find the Maximum Length of Valid Subsequence I,find-the-maximum-length-of-valid-subsequence-i,MEDIUM,"array,dynamic-programming"
Find the Maximum Length of Valid Subsequence II,find-the-maximum-length-of-valid-subsequence-ii,MEDIUM,"array,dynamic-programming"
Find Minimum Diameter After Merging Two Trees,find-minimum-diameter-after-merging-two-trees,HARD,"tree,depth-first-search,breadth-first-search,graph"
Bitwise User Permissions Analysis,bitwise-user-permissions-analysis,MEDIUM,database
Maximum Array Hopping Score I,maximum-array-hopping-score-i,MEDIUM,"array,dynamic-programming,stack,greedy,monotonic-stack"
Alternating Groups I,alternating-groups-i,EASY,"array,sliding-window"
Maximum Points After Enemy Battles,maximum-points-after-enemy-battles,MEDIUM,"array,greedy"
Alternating Groups II,alternating-groups-ii,MEDIUM,"array,sliding-window"
Number of Subarrays With AND Value of K,number-of-subarrays-with-and-value-of-k,HARD,"array,binary-search,bit-manipulation,segment-tree"
Find the Encrypted String,find-the-encrypted-string,EASY,string
Generate Binary Strings Without Adjacent Zeros,generate-binary-strings-without-adjacent-zeros,MEDIUM,"string,backtracking,bit-manipulation"
Count Submatrices With Equal Frequency of X and Y,count-submatrices-with-equal-frequency-of-x-and-y,MEDIUM,"array,matrix,prefix-sum"
Construct String with Minimum Cost,construct-string-with-minimum-cost,HARD,"array,string,dynamic-programming,suffix-array"
Year on Year Growth Rate,year-on-year-growth-rate,HARD,database
Count Triplets with Even XOR Set Bits II,count-triplets-with-even-xor-set-bits-ii,MEDIUM,"array,bit-manipulation"
Lexicographically Smallest String After a Swap,lexicographically-smallest-string-after-a-swap,EASY,"string,greedy"
Delete Nodes From Linked List Present in Array,delete-nodes-from-linked-list-present-in-array,MEDIUM,"array,hash-table,linked-list"
Minimum Cost for Cutting Cake I,minimum-cost-for-cutting-cake-i,MEDIUM,"array,dynamic-programming,greedy,sorting"
Minimum Cost for Cutting Cake II,minimum-cost-for-cutting-cake-ii,HARD,"array,greedy,sorting"
Odd and Even Transactions,odd-and-even-transactions,MEDIUM,database
Maximum Array Hopping Score II,maximum-array-hopping-score-ii,MEDIUM,"array,stack,greedy,monotonic-stack"
Find the Winning Player in Coin Game,find-the-winning-player-in-coin-game,EASY,"math,simulation,game-theory"
Minimum Length of String After Operations,minimum-length-of-string-after-operations,MEDIUM,"hash-table,string,counting"
Minimum Array Changes to Make Differences Equal,minimum-array-changes-to-make-differences-equal,MEDIUM,"array,hash-table,prefix-sum"
Maximum Score From Grid Operations,maximum-score-from-grid-operations,HARD,"array,dynamic-programming,matrix,prefix-sum"
Number of Bit Changes to Make Two Integers Equal,number-of-bit-changes-to-make-two-integers-equal,EASY,bit-manipulation
Vowels Game in a String,vowels-game-in-a-string,MEDIUM,"math,string,brainteaser,game-theory"
Maximum Number of Operations to Move Ones to the End,maximum-number-of-operations-to-move-ones-to-the-end,MEDIUM,"string,greedy,counting"
Minimum Operations to Make Array Equal to Target,minimum-operations-to-make-array-equal-to-target,HARD,"array,dynamic-programming,stack,greedy,monotonic-stack"
Customer Purchasing Behavior Analysis,customer-purchasing-behavior-analysis,MEDIUM,database
Minimum Number of Increasing Subsequence to Be Removed,minimum-number-of-increasing-subsequence-to-be-removed,HARD,"array,binary-search"
Find if Digit Game Can Be Won,find-if-digit-game-can-be-won,EASY,"array,math"
Find the Count of Numbers Which Are Not Special,find-the-count-of-numbers-which-are-not-special,MEDIUM,"array,math,number-theory"
Count the Number of Substrings With Dominant Ones,count-the-number-of-substrings-with-dominant-ones,MEDIUM,"string,enumeration"
Check if the Rectangle Corner Is Reachable,check-if-the-rectangle-corner-is-reachable,HARD,"array,math,depth-first-search,breadth-first-search,union-find,geometry"
CEO Subordinate Hierarchy,ceo-subordinate-hierarchy,HARD,database
Alt and Tab Simulation,alt-and-tab-simulation,MEDIUM,"array,hash-table,simulation"
Find the Number of Winning Players,find-the-number-of-winning-players,EASY,"array,hash-table,counting"
Minimum Number of Flips to Make Binary Grid Palindromic I,minimum-number-of-flips-to-make-binary-grid-palindromic-i,MEDIUM,"array,two-pointers,matrix"
Minimum Number of Flips to Make Binary Grid Palindromic II,minimum-number-of-flips-to-make-binary-grid-palindromic-ii,MEDIUM,"array,two-pointers,matrix"
Time Taken to Mark All Nodes,time-taken-to-mark-all-nodes,HARD,"dynamic-programming,tree,depth-first-search,graph"
Design Neighbor Sum Service,design-neighbor-sum-service,EASY,"array,hash-table,design,matrix,simulation"
Shortest Distance After Road Addition Queries I,shortest-distance-after-road-addition-queries-i,MEDIUM,"array,breadth-first-search,graph"
Shortest Distance After Road Addition Queries II,shortest-distance-after-road-addition-queries-ii,HARD,"array,greedy,graph,ordered-set"
Alternating Groups III,alternating-groups-iii,HARD,"array,binary-indexed-tree,ordered-set"
Premier League Table Ranking,premier-league-table-ranking,EASY,database
Number of Subsequences with Odd Sum,number-of-subsequences-with-odd-sum,MEDIUM,"array,math,dynamic-programming,combinatorics"
Snake in Matrix,snake-in-matrix,EASY,"array,string,simulation"
Count the Number of Good Nodes,count-the-number-of-good-nodes,MEDIUM,"tree,depth-first-search"
Find the Count of Monotonic Pairs I,find-the-count-of-monotonic-pairs-i,HARD,"array,math,dynamic-programming,combinatorics,prefix-sum"
Find the Count of Monotonic Pairs II,find-the-count-of-monotonic-pairs-ii,HARD,"array,math,dynamic-programming,combinatorics,prefix-sum"
Premier League Table Ranking II,premier-league-table-ranking-ii,MEDIUM,database
Construct String with Minimum Cost (Easy),construct-string-with-minimum-cost-easy,MEDIUM,
Find the Power of K-Size Subarrays I,find-the-power-of-k-size-subarrays-i,MEDIUM,"array,sliding-window"
Find the Power of K-Size Subarrays II,find-the-power-of-k-size-subarrays-ii,MEDIUM,"array,sliding-window"
Maximum Value Sum by Placing Three Rooks I,maximum-value-sum-by-placing-three-rooks-i,HARD,"array,dynamic-programming,matrix,enumeration"
Maximum Value Sum by Placing Three Rooks II,maximum-value-sum-by-placing-three-rooks-ii,HARD,"array,dynamic-programming,matrix,enumeration"
Count Substrings That Satisfy K-Constraint I,count-substrings-that-satisfy-k-constraint-i,EASY,"string,sliding-window"
Maximum Energy Boost From Two Drinks,maximum-energy-boost-from-two-drinks,MEDIUM,"array,dynamic-programming"
Find the Largest Palindrome Divisible by K,find-the-largest-palindrome-divisible-by-k,HARD,"math,string,dynamic-programming,greedy,number-theory"
Count Substrings That Satisfy K-Constraint II,count-substrings-that-satisfy-k-constraint-ii,HARD,"array,string,binary-search,sliding-window,prefix-sum"
Find Overlapping Shifts,find-overlapping-shifts,MEDIUM,database
Convert Doubly Linked List to Array I,convert-doubly-linked-list-to-array-i,EASY,"array,linked-list,doubly-linked-list"
Final Array State After K Multiplication Operations I,final-array-state-after-k-multiplication-operations-i,EASY,"array,math,heap-priority-queue,simulation"
Count Almost Equal Pairs I,count-almost-equal-pairs-i,MEDIUM,"array,hash-table,sorting,counting,enumeration"
Final Array State After K Multiplication Operations II,final-array-state-after-k-multiplication-operations-ii,HARD,"array,heap-priority-queue,simulation"
Count Almost Equal Pairs II,count-almost-equal-pairs-ii,HARD,"array,hash-table,sorting,counting,enumeration"
Find Overlapping Shifts II,find-overlapping-shifts-ii,HARD,database
Constructing Two Increasing Arrays,constructing-two-increasing-arrays,HARD,"array,dynamic-programming"
Find the Key of the Numbers,find-the-key-of-the-numbers,EASY,math
Hash Divided String,hash-divided-string,MEDIUM,"string,simulation"
Find the Count of Good Integers,find-the-count-of-good-integers,HARD,"hash-table,math,combinatorics,enumeration"
Minimum Amount of Damage Dealt to Bob,minimum-amount-of-damage-dealt-to-bob,HARD,"array,greedy,sorting"
Check if Two Chessboard Squares Have the Same Color,check-if-two-chessboard-squares-have-the-same-color,EASY,"math,string"
K-th Nearest Obstacle Queries,k-th-nearest-obstacle-queries,MEDIUM,"array,heap-priority-queue"
Select Cells in Grid With Maximum Score,select-cells-in-grid-with-maximum-score,HARD,"array,dynamic-programming,bit-manipulation,matrix,bitmask"
Maximum XOR Score Subarray Queries,maximum-xor-score-subarray-queries,HARD,"array,dynamic-programming"
Find Candidates for Data Scientist Position II,find-candidates-for-data-scientist-position-ii,MEDIUM,database
Maximum Total Area Occupied by Pistons,maximum-total-area-occupied-by-pistons,HARD,"array,hash-table,string,simulation,counting,prefix-sum"
Convert Date to Binary,convert-date-to-binary,EASY,"math,string"
Maximize Score of Numbers in Ranges,maximize-score-of-numbers-in-ranges,MEDIUM,"array,binary-search,greedy,sorting"
Reach End of Array With Max Score,reach-end-of-array-with-max-score,MEDIUM,"array,greedy"
Maximum Number of Moves to Kill All Pawns,maximum-number-of-moves-to-kill-all-pawns,HARD,"array,math,bit-manipulation,breadth-first-search,game-theory,bitmask"
Sum of Consecutive Subarrays,sum-of-consecutive-subarrays,MEDIUM,"array,two-pointers,dynamic-programming"
Find Indices of Stable Mountains,find-indices-of-stable-mountains,EASY,array
Find a Safe Walk Through a Grid,find-a-safe-walk-through-a-grid,MEDIUM,"array,breadth-first-search,graph,heap-priority-queue,matrix,shortest-path"
Find the Maximum Sequence Value of Array,find-the-maximum-sequence-value-of-array,HARD,"array,dynamic-programming,bit-manipulation"
Length of the Longest Increasing Path,length-of-the-longest-increasing-path,HARD,"array,binary-search,sorting"
The Two Sneaky Numbers of Digitville,the-two-sneaky-numbers-of-digitville,EASY,"array,hash-table,math"
Maximum Multiplication Score,maximum-multiplication-score,MEDIUM,"array,dynamic-programming"
Minimum Number of Valid Strings to Form Target I,minimum-number-of-valid-strings-to-form-target-i,MEDIUM,"array,string,binary-search,dynamic-programming,trie,segment-tree,rolling-hash,string-matching,hash-function"
Minimum Number of Valid Strings to Form Target II,minimum-number-of-valid-strings-to-form-target-ii,HARD,"array,string,binary-search,dynamic-programming,segment-tree,rolling-hash,string-matching,hash-function"
Calculate Product Final Price,calculate-product-final-price,MEDIUM,database
Convert Doubly Linked List to Array II,convert-doubly-linked-list-to-array-ii,MEDIUM,"array,linked-list,doubly-linked-list"
Report Spam Message,report-spam-message,MEDIUM,"array,hash-table,string"
Minimum Number of Seconds to Make Mountain Height Zero,minimum-number-of-seconds-to-make-mountain-height-zero,MEDIUM,"array,math,binary-search,greedy,heap-priority-queue"
Count Substrings That Can Be Rearranged to Contain a String I,count-substrings-that-can-be-rearranged-to-contain-a-string-i,MEDIUM,"hash-table,string,sliding-window"
Count Substrings That Can Be Rearranged to Contain a String II,count-substrings-that-can-be-rearranged-to-contain-a-string-ii,HARD,"hash-table,string,sliding-window"
Sum of Consecutive Subsequences,sum-of-consecutive-subsequences,HARD,"array,hash-table,dynamic-programming"
Minimum Element After Replacement With Digit Sum,minimum-element-after-replacement-with-digit-sum,EASY,"array,math"
Maximize the Total Height of Unique Towers,maximize-the-total-height-of-unique-towers,MEDIUM,"array,greedy,sorting"
Find the Lexicographically Smallest Valid Sequence,find-the-lexicographically-smallest-valid-sequence,MEDIUM,"two-pointers,string,dynamic-programming,greedy"
Find the Occurrence of First Almost Equal Substring,find-the-occurrence-of-first-almost-equal-substring,HARD,"string,string-matching"
Find the K-th Character in String Game I,find-the-k-th-character-in-string-game-i,EASY,"math,bit-manipulation,recursion,simulation"
Count of Substrings Containing Every Vowel and K Consonants I,count-of-substrings-containing-every-vowel-and-k-consonants-i,MEDIUM,"hash-table,string,sliding-window"
Count of Substrings Containing Every Vowel and K Consonants II,count-of-substrings-containing-every-vowel-and-k-consonants-ii,MEDIUM,"hash-table,string,sliding-window"
Find the K-th Character in String Game II,find-the-k-th-character-in-string-game-ii,HARD,"math,bit-manipulation,recursion"
Find Top Performing Driver,find-top-performing-driver,MEDIUM,database
Maximum Possible Number by Binary Concatenation,maximum-possible-number-by-binary-concatenation,MEDIUM,"array,bit-manipulation,enumeration"
Remove Methods From Project,remove-methods-from-project,MEDIUM,"depth-first-search,breadth-first-search,graph"
Construct 2D Grid Matching Graph Layout,construct-2d-grid-matching-graph-layout,HARD,"array,hash-table,graph,matrix"
Sorted GCD Pair Queries,sorted-gcd-pair-queries,HARD,"array,hash-table,math,binary-search,combinatorics,counting,number-theory,prefix-sum"
Find the Last Marked Nodes in Tree,find-the-last-marked-nodes-in-tree,HARD,"tree,depth-first-search"
Construct the Minimum Bitwise Array I,construct-the-minimum-bitwise-array-i,EASY,"array,bit-manipulation"
Construct the Minimum Bitwise Array II,construct-the-minimum-bitwise-array-ii,MEDIUM,"array,bit-manipulation"
Find Maximum Removals From Source String,find-maximum-removals-from-source-string,MEDIUM,"array,hash-table,two-pointers,string,dynamic-programming"
Find the Number of Possible Ways for an Event,find-the-number-of-possible-ways-for-an-event,HARD,"math,dynamic-programming,combinatorics"
Find X-Sum of All K-Long Subarrays I,find-x-sum-of-all-k-long-subarrays-i,EASY,"array,hash-table,sliding-window,heap-priority-queue"
K-th Largest Perfect Subtree Size in Binary Tree,k-th-largest-perfect-subtree-size-in-binary-tree,MEDIUM,"tree,depth-first-search,sorting,binary-tree"
Count The Number of Winning Sequences,count-the-number-of-winning-sequences,HARD,"string,dynamic-programming"
Find X-Sum of All K-Long Subarrays II,find-x-sum-of-all-k-long-subarrays-ii,HARD,"array,hash-table,sliding-window,heap-priority-queue"
Premier League Table Ranking III,premier-league-table-ranking-iii,MEDIUM,database
Minimize Connected Groups by Inserting Interval,minimize-connected-groups-by-inserting-interval,MEDIUM,"array,binary-search,sliding-window,sorting"
Find the Sequence of Strings Appeared on the Screen,find-the-sequence-of-strings-appeared-on-the-screen,MEDIUM,"string,simulation"
Count Substrings With K-Frequency Characters I,count-substrings-with-k-frequency-characters-i,MEDIUM,"hash-table,string,sliding-window"
Minimum Division Operations to Make Array Non Decreasing,minimum-division-operations-to-make-array-non-decreasing,MEDIUM,"array,math,greedy,number-theory"
Check if DFS Strings Are Palindromes,check-if-dfs-strings-are-palindromes,HARD,"array,hash-table,string,tree,depth-first-search,hash-function"
Find Cities in Each State II,find-cities-in-each-state-ii,MEDIUM,database
Count Substrings With K-Frequency Characters II,count-substrings-with-k-frequency-characters-ii,HARD,"hash-table,string,sliding-window"
Find the Original Typed String I,find-the-original-typed-string-i,EASY,string
Find Subtree Sizes After Changes,find-subtree-sizes-after-changes,MEDIUM,"array,hash-table,string,tree,depth-first-search"
Maximum Points Tourist Can Earn,maximum-points-tourist-can-earn,MEDIUM,"array,dynamic-programming,matrix"
Find the Original Typed String II,find-the-original-typed-string-ii,HARD,"string,dynamic-programming,prefix-sum"
Find the Maximum Factor Score of Array,find-the-maximum-factor-score-of-array,MEDIUM,"array,math,number-theory"
Total Characters in String After Transformations I,total-characters-in-string-after-transformations-i,MEDIUM,"hash-table,math,string,dynamic-programming,counting"
Find the Number of Subsequences With Equal GCD,find-the-number-of-subsequences-with-equal-gcd,HARD,"array,math,dynamic-programming,number-theory"
Total Characters in String After Transformations II,total-characters-in-string-after-transformations-ii,HARD,"hash-table,math,string,dynamic-programming,counting"
Second Highest Salary II,second-highest-salary-ii,MEDIUM,database
Find the Number of K-Even Arrays,find-the-number-of-k-even-arrays,MEDIUM,dynamic-programming
Check Balanced String,check-balanced-string,EASY,string
Find Minimum Time to Reach Last Room I,find-minimum-time-to-reach-last-room-i,MEDIUM,"array,graph,heap-priority-queue,matrix,shortest-path"
Find Minimum Time to Reach Last Room II,find-minimum-time-to-reach-last-room-ii,MEDIUM,"array,graph,heap-priority-queue,matrix,shortest-path"
Count Number of Balanced Permutations,count-number-of-balanced-permutations,HARD,"math,string,dynamic-programming,combinatorics"
Maximum Sized Array,maximum-sized-array,MEDIUM,"binary-search,bit-manipulation"
Smallest Divisible Digit Product I,smallest-divisible-digit-product-i,EASY,"math,enumeration"
Maximum Frequency of an Element After Performing Operations I,maximum-frequency-of-an-element-after-performing-operations-i,MEDIUM,"array,binary-search,sliding-window,sorting,prefix-sum"
Maximum Frequency of an Element After Performing Operations II,maximum-frequency-of-an-element-after-performing-operations-ii,HARD,"array,binary-search,sliding-window,sorting,prefix-sum"
Smallest Divisible Digit Product II,smallest-divisible-digit-product-ii,HARD,"math,string,backtracking,greedy,number-theory"
Adjacent Increasing Subarrays Detection I,adjacent-increasing-subarrays-detection-i,EASY,array
Adjacent Increasing Subarrays Detection II,adjacent-increasing-subarrays-detection-ii,MEDIUM,"array,binary-search"
Sum of Good Subsequences,sum-of-good-subsequences,HARD,"array,hash-table,dynamic-programming"
Count K-Reducible Numbers Less Than N,count-k-reducible-numbers-less-than-n,HARD,"math,string,dynamic-programming,combinatorics"
Minimum Total Operations,minimum-total-operations,EASY,array
Make Array Elements Equal to Zero,make-array-elements-equal-to-zero,EASY,"array,simulation,prefix-sum"
Zero Array Transformation I,zero-array-transformation-i,MEDIUM,"array,prefix-sum"
Zero Array Transformation II,zero-array-transformation-ii,MEDIUM,"array,binary-search,prefix-sum"
Minimize the Maximum Adjacent Element Difference,minimize-the-maximum-adjacent-element-difference,HARD,"array,binary-search,greedy"
Books with NULL Ratings,books-with-null-ratings,EASY,database
Find Sorted Submatrices With Maximum Element at Most K,find-sorted-submatrices-with-maximum-element-at-most-k,HARD,"array,stack,matrix,monotonic-stack"
Stone Removal Game,stone-removal-game,EASY,"math,simulation"
Shift Distance Between Two Strings,shift-distance-between-two-strings,MEDIUM,"array,string,prefix-sum"
Zero Array Transformation III,zero-array-transformation-iii,MEDIUM,"array,greedy,sorting,heap-priority-queue,prefix-sum"
Find the Maximum Number of Fruits Collected,find-the-maximum-number-of-fruits-collected,HARD,"array,dynamic-programming,matrix"
Minimum Positive Sum Subarray ,minimum-positive-sum-subarray,EASY,"array,sliding-window,prefix-sum"
Rearrange K Substrings to Form Target String,rearrange-k-substrings-to-form-target-string,MEDIUM,"hash-table,string,sorting"
Minimum Array Sum,minimum-array-sum,MEDIUM,"array,dynamic-programming"
Maximize Sum of Weights after Edge Removals,maximize-sum-of-weights-after-edge-removals,HARD,"dynamic-programming,tree,depth-first-search"
First Letter Capitalization,first-letter-capitalization,HARD,database
Design an Array Statistics Tracker ,design-an-array-statistics-tracker,HARD,"hash-table,binary-search,design,queue,heap-priority-queue,data-stream,ordered-set"
Smallest Number With All Set Bits,smallest-number-with-all-set-bits,EASY,"math,bit-manipulation"
Identify the Largest Outlier in an Array,identify-the-largest-outlier-in-an-array,MEDIUM,"array,hash-table,counting,enumeration"
Maximize the Number of Target Nodes After Connecting Trees I,maximize-the-number-of-target-nodes-after-connecting-trees-i,MEDIUM,"tree,depth-first-search,breadth-first-search"
Maximize the Number of Target Nodes After Connecting Trees II,maximize-the-number-of-target-nodes-after-connecting-trees-ii,HARD,"tree,depth-first-search,breadth-first-search"
First Letter Capitalization II,first-letter-capitalization-ii,HARD,database
Minimum Operations to Make Array Values Equal to K,minimum-operations-to-make-array-values-equal-to-k,EASY,"array,hash-table"
Minimum Time to Break Locks I,minimum-time-to-break-locks-i,MEDIUM,"array,dynamic-programming,backtracking,bit-manipulation,depth-first-search,bitmask"
Digit Operations to Make Two Integers Equal,digit-operations-to-make-two-integers-equal,MEDIUM,"math,graph,heap-priority-queue,number-theory,shortest-path"
Count Connected Components in LCM Graph,count-connected-components-in-lcm-graph,HARD,"array,hash-table,math,union-find,number-theory"
Transformed Array,transformed-array,EASY,"array,simulation"
Maximum Area Rectangle With Point Constraints I,maximum-area-rectangle-with-point-constraints-i,MEDIUM,"array,math,binary-indexed-tree,segment-tree,geometry,sorting,enumeration"
Maximum Subarray Sum With Length Divisible by K,maximum-subarray-sum-with-length-divisible-by-k,MEDIUM,"array,hash-table,prefix-sum"
Maximum Area Rectangle With Point Constraints II,maximum-area-rectangle-with-point-constraints-ii,HARD,"array,math,binary-indexed-tree,segment-tree,geometry,sorting"
Minimum Runes to Add to Cast Spell,minimum-runes-to-add-to-cast-spell,HARD,"array,depth-first-search,breadth-first-search,union-find,graph,topological-sort"
Team Dominance by Pass Success,team-dominance-by-pass-success,HARD,database
Minimum Time to Break Locks II,minimum-time-to-break-locks-ii,HARD,"array,depth-first-search,graph"
Button with Longest Push Time,button-with-longest-push-time,EASY,array
Maximize Amount After Two Days of Conversions,maximize-amount-after-two-days-of-conversions,MEDIUM,"array,string,depth-first-search,breadth-first-search,graph"
Count Beautiful Splits in an Array,count-beautiful-splits-in-an-array,MEDIUM,"array,dynamic-programming"
Minimum Operations to Make Character Frequencies Equal,minimum-operations-to-make-character-frequencies-equal,HARD,"hash-table,string,dynamic-programming,counting,enumeration"
Longest Team Pass Streak,longest-team-pass-streak,HARD,database
Design a 3D Binary Matrix with Efficient Layer Tracking,design-a-3d-binary-matrix-with-efficient-layer-tracking,MEDIUM,"array,hash-table,design,heap-priority-queue,matrix,ordered-set"
Count Subarrays of Length Three With a Condition,count-subarrays-of-length-three-with-a-condition,EASY,array
Count Paths With the Given XOR Value,count-paths-with-the-given-xor-value,MEDIUM,"array,dynamic-programming,bit-manipulation,matrix"
Check if Grid can be Cut into Sections,check-if-grid-can-be-cut-into-sections,MEDIUM,"array,sorting"
Subsequences with a Unique Middle Mode I,subsequences-with-a-unique-middle-mode-i,HARD,"array,hash-table,math,combinatorics"
Minimum Number of Operations to Make Elements in Array Distinct,minimum-number-of-operations-to-make-elements-in-array-distinct,EASY,"array,hash-table"
Maximum Number of Distinct Elements After Operations,maximum-number-of-distinct-elements-after-operations,MEDIUM,"array,greedy,sorting"
Smallest Substring With Identical Characters I,smallest-substring-with-identical-characters-i,HARD,"array,binary-search,enumeration"
Smallest Substring With Identical Characters II,smallest-substring-with-identical-characters-ii,HARD,"string,binary-search"
Maximum Number of Matching Indices After Right Shifts,maximum-number-of-matching-indices-after-right-shifts,MEDIUM,"array,two-pointers,simulation"
Find Circular Gift Exchange Chains,find-circular-gift-exchange-chains,HARD,database
Minimum Operations to Make Columns Strictly Increasing,minimum-operations-to-make-columns-strictly-increasing,EASY,"array,greedy,matrix"
Find the Lexicographically Largest String From the Box I,find-the-lexicographically-largest-string-from-the-box-i,MEDIUM,"two-pointers,string,enumeration"
Count Special Subsequences,count-special-subsequences,MEDIUM,"array,hash-table,math,enumeration"
Count the Number of Arrays with K Matching Adjacent Elements,count-the-number-of-arrays-with-k-matching-adjacent-elements,HARD,"math,combinatorics"
Find the Lexicographically Largest String From the Box II,find-the-lexicographically-largest-string-from-the-box-ii,HARD,"two-pointers,string"
Substring Matching Pattern,substring-matching-pattern,EASY,"string,string-matching"
Design Task Manager,design-task-manager,MEDIUM,"hash-table,design,heap-priority-queue,ordered-set"
Longest Subsequence With Decreasing Adjacent Difference,longest-subsequence-with-decreasing-adjacent-difference,MEDIUM,"array,dynamic-programming"
Maximize Subarray Sum After Removing All Occurrences of One Element,maximize-subarray-sum-after-removing-all-occurrences-of-one-element,HARD,"array,dynamic-programming,segment-tree"
Maximum Subarray With Equal Products,maximum-subarray-with-equal-products,EASY,"array,math,sliding-window,enumeration,number-theory"
